,x1,y1,x2,y2
wall 1,590,545,589,490
wall 2,629,548,626,488
wall 3,668,547,663,489
wall 4,704,547,699,489
wall 5,742,548,737,489
wall 6,781,547,777,490
wall 7,821,545,820,489
wall 8,884,541,826,488
wall 9,886,489,826,487
wall 10,885,456,824,456
wall 11,884,420,824,420
wall 12,885,389,825,391
wall 13,885,354,825,359
wall 14,884,322,826,326
wall 15,885,293,825,296
wall 16,886,264,825,267
wall 17,885,239,828,238
wall 19,866,191,824,243
wall 21,826,183,823,240
wall 22,802,240,802,181
wall 23,781,178,778,240
wall 24,740,239,781,178
wall 26,722,178,781,178
wall 27,781,149,721,152
wall 28,722,122,781,122
wall 29,781,81,722,122
wall 30,759,51,721,124
wall 31,720,48,720,119
wall 32,689,123,687,48
wall 33,656,45,658,123
wall 34,632,121,632,45
wall 35,607,47,604,121
wall 36,577,123,577,47
wall 37,550,123,545,45
wall 38,519,122,511,44
wall 39,478,120,477,46
wall 40,454,121,449,45
wall 41,429,121,424,46
wall 42,406,120,401,43
wall 43,376,123,379,45
wall 44,359,123,354,44
wall 45,337,122,329,44
wall 46,297,124,296,45
wall 47,284,122,280,45
wall 48,240,55,283,122
wall 49,225,91,283,121
wall 50,220,123,281,123
wall 51,279,151,221,152
wall 52,218,184,281,180
wall 53,277,210,220,211
wall 54,221,241,279,241
wall 55,278,265,221,262
wall 56,224,306,278,282
wall 57,255,343,281,286
wall 58,313,363,328,306
wall 59,371,380,386,320
wall 60,423,392,428,332
wall 61,476,408,481,344
wall 62,525,422,529,360
wall 63,579,439,578,373
wall 64,624,448,625,390
wall 65,669,460,674,403
wall 66,716,474,722,415
wall 67,781,450,725,476
